Sale Date,Local Item Code,Brand Name,Size,Quantity(Case),Quantity(Loose Bottle)
10/10/2023,SCMIT998331,BACARDI CARTA BLANCA  SUPERIOR WHITE RUM .,375 ML,,
10/10/2023,SCMIT998376,BACARDI CARTA BLANCA  SUPERIOR WHITE RUM .,750 ML,,
10/10/2023,SCMIT998691,BACARDI CARTA BLANCA  SUPERIOR WHITE RUM .,1000 ML,,
10/10/2023,SCMIT387771,Bacardi Carta Blanca Superior White Rum .,60 ML,,
10/10/2023,SCMIT387816,Bacardi Carta Blanca Superior White Rum .,90 ML-(96),,
10/10/2023,SCMIT444471,Bacardi Carta Blanca Superior White Rum .,90 ML(100),,
10/10/2023,SCMIT387861,Bacardi Carta Blanca Superior White Rum .,180 ML,,
10/10/2023,SCMIT387906,Bacardi Carta Blanca Superior White Rum .,375 ML,,
10/10/2023,SCMIT387951,Bacardi Carta Blanca Superior White Rum .,750 ML,,
10/10/2023,SCMIT387996,Bacardi Carta Blanca Superior White Rum .,1000 ML,,
10/10/2023,SCMIT671406,Bacardi Carta Blanca Ulta Deluxe Superior White Rum .,60 ML,,
10/10/2023,SCMIT671451,Bacardi Carta Blanca Ulta Deluxe Superior White Rum .,90 ML(100),,
10/10/2023,SCMIT671496,Bacardi Carta Blanca Ulta Deluxe Superior White Rum .,180 ML,,
10/10/2023,SCMIT671541,Bacardi Carta Blanca Ulta Deluxe Superior White Rum .,375 ML,,
10/10/2023,SCMIT671586,Bacardi Carta Blanca Ulta Deluxe Superior White Rum .,750 ML,,
10/10/2023,SCMIT671631,Bacardi Carta Blanca Ulta Deluxe Superior White Rum .,1000 ML,,
10/10/2023,SCMIT414186,Bacardi Carta Ora Superior Gold Rum .,180 ML,,
10/10/2023,SCMIT388536,Bacardi Carta Ora Superior Gold Rum .,750 ML,,
10/10/2023,SCMIT1123971,BACARDI GINGER ULTRA DELUXE ORIGINAL GINGER  RUM .,180 ML,,
10/10/2023,SCMIT1123926,BACARDI GINGER ULTRA DELUXE ORIGINAL GINGER  RUM .,375 ML,,
10/10/2023,SCMIT1123881,BACARDI GINGER ULTRA DELUXE ORIGINAL GINGER  RUM .,750 ML,,
10/10/2023,SCMIT1123836,BACARDI GREEN LIME  ULTRA DELUXE ORIGINAL LIME  RUM .,180 ML,,
10/10/2023,SCMIT1123791,BACARDI GREEN LIME  ULTRA DELUXE ORIGINAL LIME  RUM .,375 ML,,
10/10/2023,SCMIT1123746,BACARDI GREEN LIME  ULTRA DELUXE ORIGINAL LIME  RUM .,750 ML,,
10/10/2023,SCMIT388356,Bacardi Limon Original Citrus Rum .,60 ML,,
10/10/2023,SCMIT388401,Bacardi Limon Original Citrus Rum .,180 ML,,
10/10/2023,SCMIT450861,Bacardi Limon Original Citrus Rum .,375 ML,,
10/10/2023,SCMIT388446,Bacardi Limon Original Citrus Rum .,750 ML,,
10/10/2023,SCMIT907341,BACARDI LIMON ULTRA DELUX ORIGINAL CITRUS RUM .,90 ML-(96),,
10/10/2023,SCMIT813651,BACARDI LIMON ULTRA DELUX ORIGINAL CITRUS RUM .,180 ML,,
10/10/2023,SCMIT813696,BACARDI LIMON ULTRA DELUX ORIGINAL CITRUS RUM .,375 ML,,
10/10/2023,SCMIT813741,BACARDI LIMON ULTRA DELUX ORIGINAL CITRUS RUM .,750 ML,,
10/10/2023,SCMIT959136,Bacardi Limon Ultra Deluxe Original citrus Rum .,60 ML,,
10/10/2023,SCMIT959091,Bacardi Limon Ultra Deluxe Original citrus Rum .,90 ML(100),,
10/10/2023,SCMIT959046,Bacardi Limon Ultra Deluxe Original citrus Rum .,180 ML,,
10/10/2023,SCMIT959001,Bacardi Limon Ultra Deluxe Original citrus Rum .,375 ML,,
10/10/2023,SCMIT958956,Bacardi Limon Ultra Deluxe Original citrus Rum .,750 ML,,
10/10/2023,SCMIT580821,BACARDI PINEAPPLE ORIGINAL PINEAPPLE & COCONUT RUM .,750 ML,,
10/10/2023,SCMIT611646,Bacardi Reserva Ocho Ron Dorado Selecto 8 .,750 ML,,
10/10/2023,SCMIT1491,BAGPIPER Deluxe WHISKY .,90 ML (Pet)-96,,
10/10/2023,SCMIT1536,BAGPIPER Deluxe WHISKY .,180 ML,,
10/10/2023,SCMIT1581,BAGPIPER Deluxe WHISKY .,180 ML (Pet),,
10/10/2023,SCMIT1626,BAGPIPER Deluxe WHISKY .,180 ML (tetra),,
10/10/2023,SCMIT1671,BAGPIPER Deluxe WHISKY .,375 ML,,
10/10/2023,SCMIT35061,BAGPIPER Deluxe WHISKY .,750 ML,,
10/10/2023,SCMIT43071,BAGPIPER Deluxe WHISKY .,750 ML (Pet),,
10/10/2023,SCMIT35106,BAGPIPER Deluxe WHISKY .,1000 ML,,
10/10/2023,SCMIT132621,BAGPIPER Deluxe WHISKY .,1000 ML(Pet),,
10/10/2023,SCMIT35151,BAGPIPER Deluxe WHISKY .,2000 ML(4),,
10/10/2023,SCMIT568131,Bagpiper Gold Reserve Whisky .,90 ML (Pet)-96,,
10/10/2023,SCMIT568176,Bagpiper Gold Reserve Whisky .,180 ML,,
10/10/2023,SCMIT721851,Bagpiper Gold Reserve Whisky .,180 ML (Pet),,
10/10/2023,SCMIT568221,Bagpiper Gold Reserve Whisky .,375 ML,,
10/10/2023,SCMIT568266,Bagpiper Gold Reserve Whisky .,750 ML,,
10/10/2023,SCMIT568311,Bagpiper Gold Reserve Whisky .,1000 ML,,
10/10/2023,SCMIT1034961,Bagpiper Gold Reserve Whisky .,1000 ML(Pet),,
10/10/2023,SCMIT420216,Baileys The Original Irish Cream .,50 ML(80),,
10/10/2023,SCMIT412791,Baileys The Original Irish Cream .,750 ML,,
10/10/2023,SCMIT443301,BALLANTINE'S FINEST SCOTCH .,50 ML(120),,
10/10/2023,SCMIT443346,BALLANTINE'S FINEST SCOTCH .,200 ML (24),,
10/10/2023,SCMIT942441,BALLANTINE'S FINEST SCOTCH .,375 ML,,
10/10/2023,SCMIT443391,BALLANTINE'S FINEST SCOTCH .,750 ML,,
10/10/2023,SCMIT947481,BALLANTINE'S SINGLE MALT SCOTCH WHISKY THE GLENBURGIE AGES 15 YRS .,700 ML(6),,
10/10/2023,SCMIT601926,BALLANTINES 12 YO SCOTCH WHISKY .,750 ML,,
10/10/2023,SCMIT419091,Beck's Ice .,330 ML,,
10/10/2023,SCMIT587751,Beck's Ice .,330 ML (CAN),,
10/10/2023,SCMIT419136,Beck's Ice .,500 ML (CAN),,
10/10/2023,SCMIT419181,Beck's Ice .,650 ML,,
10/10/2023,SCMIT419226,Beck's Ice .,15 Ltr,,
10/10/2023,SCMIT419271,Beck's Ice .,30 Ltr,,
10/10/2023,SCMIT419316,Beck's Ice .,50 Ltr,,
10/10/2023,SCMIT471021,Bella Blanc Chenin Viognier .,375 ML,,
10/10/2023,SCMIT471066,Bella Blanc Chenin Viognier .,750 ML,,
10/10/2023,SCMIT471111,Bella Rouge Cabernet Shiraz .,375 ML,,
10/10/2023,SCMIT486186,Bella Rouge Cabernet Shiraz .,750 ML,,
10/10/2023,SCMIT606831,Bella Zinfandel Rose .,375 ML,,
10/10/2023,SCMIT606876,Bella Zinfandel Rose .,750 ML,,
10/10/2023,SCMIT605526,Bira 91 Blonde Summer Lager Beer .,330 ML,,
10/10/2023,SCMIT698046,Bira 91 Blonde Summer Lager Beer .,330 ML(12),,
10/10/2023,SCMIT677391,Bira 91 Blonde Summer Lager Beer .,500 ML (CAN),,
10/10/2023,SCMIT824946,Bira 91 Blonde Summer Lager Beer .,500 ML (12),,
10/10/2023,SCMIT605571,Bira 91 Blonde Summer Lager Beer .,650 ML,,
10/10/2023,SCMIT605616,Bira 91 Blonde Summer Lager Beer .,20 Ltr,,
10/10/2023,SCMIT666411,Bira 91 Blonde Summer Lager Beer .,30 Ltr,,
10/10/2023,SCMIT807306,Bira 91 Gold Wheat Strong Beer .,330 ML,,
10/10/2023,SCMIT825081,Bira 91 Gold Wheat Strong Beer .,330 ML(12),,
10/10/2023,SCMIT807351,Bira 91 Gold Wheat Strong Beer .,500 ML (CAN),,
10/10/2023,SCMIT825126,Bira 91 Gold Wheat Strong Beer .,500 ML (12),,
10/10/2023,SCMIT807396,Bira 91 Gold Wheat Strong Beer .,650 ML,,
10/10/2023,SCMIT807441,Bira 91 Gold Wheat Strong Beer .,20 Ltr,,
10/10/2023,SCMIT807486,Bira 91 Gold Wheat Strong Beer .,30 Ltr,,
10/10/2023,SCMIT1102056,Bira 91 Rise Rice Strong Lager Beer .,330 ML,,
10/10/2023,SCMIT1107366,Bira 91 Rise Rice Strong Lager Beer .,330 ML(12),,
10/10/2023,SCMIT998061,Bira 91 Rise Rice Strong Lager Beer .,500 ML (CAN),,
10/10/2023,SCMIT1107411,Bira 91 Rise Rice Strong Lager Beer .,500 ML (12),,
10/10/2023,SCMIT998106,Bira 91 Rise Rice Strong Lager Beer .,650 ML,,
10/10/2023,SCMIT1174371,Bira 91 Rise Rice Strong Lager Beer .,20 Ltr,,
10/10/2023,SCMIT1174416,Bira 91 Rise Rice Strong Lager Beer .,30 Ltr,,
10/10/2023,SCMIT997791,Bira 91 Superfresh Natural White Beer .,330 ML,,
10/10/2023,SCMIT997836,Bira 91 Superfresh Natural White Beer .,500 ML (CAN),,
10/10/2023,SCMIT997881,Bira 91 Superfresh Natural White Beer .,650 ML,,
10/10/2023,SCMIT997746,Bira 91 Superfresh Natural White Beer .,20 Ltr,,
10/10/2023,SCMIT43521,Black & White Blended Scotch Whisky .,60 ML,,
10/10/2023,SCMIT43566,Black & White Blended Scotch Whisky .,180 ML,,
10/10/2023,SCMIT1226436,Black & White Blended Scotch Whisky .,180 ML (Pet),,
10/10/2023,SCMIT43611,Black & White Blended Scotch Whisky .,375 ML,,
10/10/2023,SCMIT43656,Black & White Blended Scotch Whisky .,750 ML,,
10/10/2023,SCMIT43701,Black & White Blended Scotch Whisky .,1000 ML,,
10/10/2023,SCMIT775221,Black & White Blended Scotch Whisky(OS) .,180 ML,,
10/10/2023,SCMIT377511,Black & White Finest Blended Scotch Whisky Aged 12 Years .,60 ML,,
10/10/2023,SCMIT377556,Black & White Finest Blended Scotch Whisky Aged 12 Years .,180 ML,,
10/10/2023,SCMIT377601,Black & White Finest Blended Scotch Whisky Aged 12 Years .,375 ML,,
10/10/2023,SCMIT377646,Black & White Finest Blended Scotch Whisky Aged 12 Years .,750 ML,,
10/10/2023,SCMIT377691,Black & White Finest Blended Scotch Whisky Aged 12 Years .,1000 ML,,
10/10/2023,SCMIT620241,Black Buck Rare Blended Whisky .,90 ML(100),,
10/10/2023,SCMIT620286,Black Buck Rare Blended Whisky .,180 ML,,
10/10/2023,SCMIT620331,Black Buck Rare Blended Whisky .,375 ML,,
10/10/2023,SCMIT620376,Black Buck Rare Blended Whisky .,750 ML,,
10/10/2023,SCMIT620421,Black Buck Rare Blended Whisky .,1000 ML,,
10/10/2023,SCMIT671811,Black by Bacardi Ultra Deluxe Original Premium Crafted Rum .,90 ML(100),,
10/10/2023,SCMIT671856,Black by Bacardi Ultra Deluxe Original Premium Crafted Rum .,180 ML,,
10/10/2023,SCMIT671901,Black by Bacardi Ultra Deluxe Original Premium Crafted Rum .,375 ML,,
10/10/2023,SCMIT671946,Black by Bacardi Ultra Deluxe Original Premium Crafted Rum .,750 ML,,
10/10/2023,SCMIT2076,BLACK DOG CENTENARY .,60 ML,,
10/10/2023,SCMIT2121,BLACK DOG CENTENARY .,180 ML,,
10/10/2023,SCMIT1226481,BLACK DOG CENTENARY .,180 ML (Pet),,
10/10/2023,SCMIT2166,BLACK DOG CENTENARY .,375 ML,,
10/10/2023,SCMIT2211,BLACK DOG CENTENARY .,750 ML,,
10/10/2023,SCMIT326121,BLACK DOG CENTENARY .,750 ML(6),,
10/10/2023,SCMIT2256,BLACK DOG CENTENARY .,1000 ML,,
10/10/2023,SCMIT37221,BLACK DOG CENTENARY .,2000 ML(4),,
10/10/2023,SCMIT326166,BLACK DOG CENTENARY .,2000 ML(6),,
10/10/2023,SCMIT775131,Black Dog Centenary Black Reserve Aged & Rear Blended Scotch Whisky(OS) .,180 ML,,
10/10/2023,SCMIT956616,Black Dog Millard's Private Reserve Blended Scotch Whisky Aged 14 Years .,750 ML,,
10/10/2023,SCMIT1851,BLACK DOG TRIPLE GOLD RESERVE BLENDED SCOTCH WHISKY .,60 ML,,
10/10/2023,SCMIT1896,BLACK DOG TRIPLE GOLD RESERVE BLENDED SCOTCH WHISKY .,180 ML,,
10/10/2023,SCMIT1226526,BLACK DOG TRIPLE GOLD RESERVE BLENDED SCOTCH WHISKY .,180 ML (Pet),,
10/10/2023,SCMIT1941,BLACK DOG TRIPLE GOLD RESERVE BLENDED SCOTCH WHISKY .,375 ML,,
10/10/2023,SCMIT1986,BLACK DOG TRIPLE GOLD RESERVE BLENDED SCOTCH WHISKY .,750 ML,,
10/10/2023,SCMIT326031,BLACK DOG TRIPLE GOLD RESERVE BLENDED SCOTCH WHISKY .,750 ML(6),,
10/10/2023,SCMIT2031,BLACK DOG TRIPLE GOLD RESERVE BLENDED SCOTCH WHISKY .,1000 ML,,
10/10/2023,SCMIT37176,BLACK DOG TRIPLE GOLD RESERVE BLENDED SCOTCH WHISKY .,2000 ML(4),,
10/10/2023,SCMIT326076,BLACK DOG TRIPLE GOLD RESERVE BLENDED SCOTCH WHISKY .,2000 ML(6),,
10/10/2023,SCMIT775176,Black Dog Triple Gold Reserve Blended Scotch Whisky(OS) .,180 ML,,
10/10/2023,SCMIT630366,Blue Diamond Distilled Bombay Dry Gin .,90 ML-(96),,
10/10/2023,SCMIT630411,Blue Diamond Distilled Bombay Dry Gin .,180 ML,,
10/10/2023,SCMIT630456,Blue Diamond Distilled Bombay Dry Gin .,375 ML,,
10/10/2023,SCMIT630501,Blue Diamond Distilled Bombay Dry Gin .,750 ML,,
10/10/2023,SCMIT3381,BLUE RIBAND GIN .,90 ML-(96),,
10/10/2023,SCMIT3426,BLUE RIBAND GIN .,180 ML,,
10/10/2023,SCMIT3471,BLUE RIBAND GIN .,375 ML,,
10/10/2023,SCMIT3516,BLUE RIBAND GIN .,750 ML,,
10/10/2023,SCMIT42306,BLUE RIBAND GIN .,750 ML (Pet),,
10/10/2023,SCMIT397446,Bombay Sapphire Distilled London Dry Gin .,50 ML (60),,
10/10/2023,SCMIT1214016,Bombay Sapphire Distilled London Dry Gin .,200 ML (12),,
10/10/2023,SCMIT397491,Bombay Sapphire Distilled London Dry Gin .,750 ML,,
10/10/2023,SCMIT823281,BOMBAY SAPPHIRE LONDON DRY GIN .,200 ML (12),,
10/10/2023,SCMIT98781,Breezer Blackberry Crush .,275 ML(24),,
10/10/2023,SCMIT958911,BREEZER Bliss Juniper N-Lime Ultra .,275 ML(24),,
10/10/2023,SCMIT98691,Breezer Blueberry .,275 ML(24),,
10/10/2023,SCMIT98601,Breezer Cranberry .,275 ML(24),,
10/10/2023,SCMIT997611,BREEZER Crips WATERMELON MINT FLAVOUR .,275 ML(24),,
10/10/2023,SCMIT997701,BREEZER Delicious BLACKBERRY CRUSH FLAVOUR .,275 ML(24),,
10/10/2023,SCMIT997521,BREEZER Exotic JAMAICAN PASSION FLAVOUR .,275 ML(24),,
10/10/2023,SCMIT98736,Breezer Jamaican Passion .,275 ML(24),,
10/10/2023,SCMIT98646,Breezer Orange .,275 ML(24),,
10/10/2023,SCMIT619611,BREEZER PUNCH CITRUS .,275 ML(24),,
10/10/2023,SCMIT619656,BREEZER PUNCH TROPICAL .,275 ML(24),,
10/10/2023,SCMIT997476,BREEZER Tangy CRANBERRY FLAVOUR .,275 ML(24),,
10/10/2023,SCMIT997566,BREEZER Tasty BLUEBERRY FLAVOUR .,275 ML(24),,
10/10/2023,SCMIT131046,Brihan's Danova Russian Vodka(35.0) .,90 ML(100),,
10/10/2023,SCMIT131091,Brihan's Danova Russian Vodka(35.0) .,180 ML,,
10/10/2023,SCMIT131136,Brihan's Danova Russian Vodka(35.0) .,375 ML,,
10/10/2023,SCMIT131181,Brihan's Danova Russian Vodka(35.0) .,500 ML,,
10/10/2023,SCMIT131226,Brihan's Danova Russian Vodka(35.0) .,750 ML,,
10/10/2023,SCMIT131271,Brihan's Danova Russian Vodka(35.0) .,1000 ML,,
10/10/2023,SCMIT5541,BRIHANS DOCTOR BRANDY .,90 ML(100),,
10/10/2023,SCMIT900411,BRIHANS DOCTOR BRANDY .,90 ML (Pet)-100,,
10/10/2023,SCMIT5586,BRIHANS DOCTOR BRANDY .,180 ML,,
10/10/2023,SCMIT1143276,BRIHANS DOCTOR BRANDY .,180 ML (Pet),,
10/10/2023,SCMIT45951,BRIHANS DOCTOR BRANDY .,375 ML,,
10/10/2023,SCMIT900456,BRIHANS DOCTOR BRANDY .,375 ML (Pet),,
10/10/2023,SCMIT45996,BRIHANS DOCTOR BRANDY .,750 ML,,
10/10/2023,SCMIT900501,BRIHANS DOCTOR BRANDY .,750 ML (Pet),,
10/10/2023,SCMIT523131,Brima's Shreepur Doctor Deluxe Brandy .,90 ML(100),,
10/10/2023,SCMIT523176,Brima's Shreepur Doctor Deluxe Brandy .,180 ML,,
10/10/2023,SCMIT523221,Brima's Shreepur Doctor Deluxe Brandy .,375 ML,,
10/10/2023,SCMIT523266,Brima's Shreepur Doctor Deluxe Brandy .,750 ML,,
10/10/2023,SCMIT1046976,Bro Code Og .,375 ML,,
10/10/2023,SCMIT1127706,Broken Bat Greater Than Gin .,750 ML,,
10/10/2023,SCMIT57696,Bryain's Dr. Brandy .,90 ML-(96),,
10/10/2023,SCMIT57741,Bryain's Dr. Brandy .,180 ML,,
10/10/2023,SCMIT400281,Bryain's Dr. Brandy .,375 ML,,
10/10/2023,SCMIT677886,Bryain's Dr. Brandy .,500 ML,,
10/10/2023,SCMIT57786,Bryain's Dr. Brandy .,750 ML,,
10/10/2023,SCMIT677931,Bryain's Dr. Brandy .,1000 ML,,
10/10/2023,SCMIT919716,Budweiser King of Beer .,250 ML (CAN),,
10/10/2023,SCMIT381696,Budweiser King of Beer .,330 ML,,
10/10/2023,SCMIT381741,Budweiser King of Beer .,330 ML (CAN),,
